,video_id,start_frame,stop_frame,verb,verb_class,noun,noun_class,narration
1896,P01_102,27,111,take,0,knife,4,take knife and plate
1897,P01_102,374,452,move,11,spatula,20,move spatula and colander
1898,P01_102,1483,1542,take,0,knife,4,take knife
1899,P01_102,11222,11250,wipe,2,surface,42,wipe surface
1900,P01_102,11280,11300,move,11,glass,10,move glass
1901,P01_102,11303,11328,wipe,2,surface,42,wipe surface
1902,P01_102,11335,11388,wipe,2,surface,42,wipe surface
1903,P01_102,11410,11460,wipe,2,surface,42,wipe surface
1904,P01_102,11495,11715,wipe,2,surface,42,wipe surface
1905,P01_102,11761,11787,move,11,lid,6,move lid
1906,P01_102,11830,11880,throw-into,13,dust,54,throw dust into the bin
1907,P01_102,11890,11947,wipe,2,hand,11,wipe hand
1908,P01_102,11982,12017,put-down,1,cloth,17,put down cloth
1909,P01_102,1545,1866,wash,2,knife,4,wash knife
1910,P01_102,12013,12062,pour,9,liquid:washing:up,22,pour washing up liquid into hand
1911,P01_102,12060,12110,wash,2,hand,11,wash hands
1912,P01_102,12110,12140,turn-off,8,tap,0,turn off tap
1913,P01_102,12144,12489,rinse,2,hand,11,rinse hands
1914,P01_102,12177,12496,rinse,2,hand,11,rinse hands
1915,P01_102,12509,12577,turn-off,8,tap,0,turn off tap
1916,P01_102,12697,13237,take,0,rag,17,take rag
1917,P01_102,12734,13072,dry,14,hand,11,dry hands
1918,P01_102,12780,13080,dry,14,hand,11,dry hands
1919,P01_102,13085,13140,put-down,1,rag,17,put down rag
1920,P01_102,1869,1889,put-down,1,knife,4,put down knife
1921,P01_102,13180,13241,take,0,lid,6,take lid
1922,P01_102,13200,13265,put-onto,1,lid,6,put lid onto container
1923,P01_102,13265,13468,close,4,lid,6,close lid
1924,P01_102,13469,13534,take,0,container,21,take container
1925,P01_102,13502,13574,open,3,fridge,12,open fridge
1926,P01_102,13542,13605,put-into,5,container,21,put container into fridge
1927,P01_102,13605,13652,close,4,fridge,12,close fridge
1928,P01_102,1878,1929,take,0,fork,14,take fork
1929,P01_102,1927,2084,wash,2,fork,14,wash fork
1930,P01_102,2086,2108,put-down,1,fork,14,put down fork
1931,P01_102,2113,2170,take,0,plate,2,take plate
1932,P01_102,2166,2191,turn-on,6,tap,0,turn on tap
1933,P01_102,2196,2235,turn-off,8,tap,0,turn off tap
1934,P01_102,2274,2546,wash,2,plate,2,wash plate
1935,P01_102,483,542,open,3,bin,36,open bin
1936,P01_102,2570,2715,wash,2,plate,2,wash plate
1937,P01_102,2733,2770,take,0,knife,4,take knife
1938,P01_102,2757,2770,put-down,1,knife,4,put down knife
1939,P01_102,2772,2806,take,0,colander,39,take colander
1940,P01_102,2804,2832,put-down,1,plate,2,put down plate
1941,P01_102,2888,3253,wash,2,colander,39,wash colander
1942,P01_102,3261,3426,wash,2,colander,39,wash colander
1943,P01_102,3404,3432,put-down,1,colander,39,put down colander
1944,P01_102,3461,3508,turn-on,6,tap,0,turn on tap
1945,P01_102,3509,3556,rinse,2,hand,11,rinse hands
1946,P01_102,554,597,take,0,knife,4,take knife
1947,P01_102,3561,3591,take,0,spatula,20,take spatula
1948,P01_102,3607,3838,rinse,2,spatula,20,rinse spatula
1949,P01_102,3845,4216,rinse,2,spatula,20,rinse spatula
1950,P01_102,4224,4250,put-down,1,spatula,20,put down spatula
1951,P01_102,4297,4333,take,0,fork,14,take fork
1952,P01_102,4311,4428,rinse,2,fork,14,rinse fork
1953,P01_102,4524,4565,take,0,knife,4,take knife
1954,P01_102,4437,4492,put-down,1,fork,14,put down fork
1955,P01_102,4512,4674,rinse,2,knife,4,rinse knife
1956,P01_102,4679,4737,put-down,1,knife,4,put down knife
1957,P01_102,600,650,move-into,11,skin:orange,48,move orange skin into the bin
1958,P01_102,4742,4824,take,0,colander,39,take colander
1959,P01_102,4787,5307,rinse,2,colander,39,rinse colander
1960,P01_102,4790,5353,rinse,2,colander,39,rinse colander
1961,P01_102,5371,5428,turn-off,8,tap,0,turn off tap
1962,P01_102,5501,5553,adjust,17,tap,0,adjust tap
1963,P01_102,5442,5509,take,0,plate,2,take plate
1964,P01_102,5554,5724,rinse,2,plate,2,rinse plate
1965,P01_102,5400,5428,adjust,17,tap,0,adjust tap
1966,P01_102,5556,5627,rinse,2,plate,2,rinse plate
1967,P01_102,5627,5704,rinse,2,plate,2,rinse plate
1968,P01_102,681,739,put-down,1,plate,2,put down plate
1969,P01_102,5709,5747,turn-off,8,tap,0,turn off tap
1970,P01_102,5817,5869,put-down,1,plate,2,put down plate
1971,P01_102,5926,5967,take,0,wok,5,take wok
1972,P01_102,6027,6189,pour,9,liquid:washing:up,22,pour washing up liquid into wok
1973,P01_102,6191,6208,take,0,sponge,9,take sponge
1974,P01_102,6222,6259,put-down,1,wok,5,put down wok
1975,P01_102,6241,6792,wash,2,wok,5,wash wok
1976,P01_102,6350,7168,wash,2,wok,5,wash wok
1977,P01_102,7144,7498,wash,2,wok,5,wash wok
1978,P01_102,7515,7722,wash,2,wok,5,wash wok
1979,P01_102,755,781,close,4,bin,36,close bin
1980,P01_102,7723,7769,put-down,1,wok,5,put down wok
1981,P01_102,7788,7825,turn-on,6,tap,0,turn on tap
1982,P01_102,7826,7873,rinse,2,hand,11,rinse hands
1983,P01_102,7877,8078,rinse,2,wok,5,rinse wok
1984,P01_102,8078,8120,take,0,sponge,9,take sponge
1985,P01_102,8112,8443,rinse,2,wok,5,rinse wok
1986,P01_102,8416,8702,rinse,2,wok,5,rinse wok
1987,P01_102,8665,8712,put-down,1,sponge,9,put down sponge
1988,P01_102,8699,8737,empty,20,wok,5,empty wok
1989,P01_102,8715,9055,rinse,2,wok,5,rinse wok
1990,P01_102,809,833,take,0,sponge,9,take sponge
1991,P01_102,9095,9212,put-down,1,wok,5,put down wok
1992,P01_102,9155,9185,take,0,cloth,17,take cloth
1993,P01_102,9195,9338,rinse,2,cloth,17,rinse cloth
1994,P01_102,9345,9455,wipe,2,sink,63,wipe sink
1995,P01_102,9462,9511,rinse,2,cloth,17,rinse cloth
1996,P01_102,9515,9728,wipe,2,sink,63,wipe sink
1997,P01_102,9839,9932,rinse,2,cloth,17,rinse cloth
1998,P01_102,9550,9609,wipe,2,sink,63,wipe sink
1999,P01_102,9621,9661,rinse,2,cloth,17,rinse cloth
2000,P01_102,9652,9699,wipe,2,sink,63,wipe sink
2001,P01_102,847,1468,wash,2,spatula,20,wash spatula
2002,P01_102,9811,9836,take,0,sponge,9,take sponge
2003,P01_102,9837,9924,rinse,2,sponge,9,rinse sponge
2004,P01_102,9927,9966,put-down,1,sponge,9,put down sponge
2005,P01_102,9955,10024,rinse,2,cloth,17,rinse cloth
2006,P01_102,10027,10080,adjust,17,tap,0,adjust tap
2007,P01_102,10061,10103,turn-off,8,tap,0,turn off tap
2008,P01_102,10184,10253,wipe,2,surface,42,wipe surface
2009,P01_102,10252,10325,take,0,food,34,take food
2010,P01_102,10346,10389,put-down,1,food,34,put down food
2011,P01_102,10432,10531,take,0,fork,14,take fork
2012,P01_102,1473,1509,put-down,1,spatula,20,put down spatula
2013,P01_102,10541,10715,put-down,1,fork,14,put down fork
2014,P01_102,10712,10801,take,0,food,34,take food and fork
2015,P01_102,10793,10824,put-down,1,food,34,put down food and fork
2016,P01_102,10849,10931,take,0,holder:pot,24,take pot holder
2017,P01_102,10953,10984,put-down,1,holder:pot,24,put down pot holder
2018,P01_102,11037,11072,take,0,cloth,17,take cloth
2019,P01_102,11069,11462,wipe,2,surface,42,wipe surface
2020,P01_102,11085,11135,move,11,container,21,move container while wiping surface
2021,P01_102,11140,11172,put-down,1,container,21,put down container
2022,P01_102,11177,11247,wipe,2,surface,42,wipe surface
2023,P01_103,71,241,close,4,door,3,close door
2024,P01_103,367,437,pick-up,0,plate,2,pick up plate
2025,P01_103,1035,1095,put-into,5,cupboard,3,put wok into cupboard
2026,P01_103,1085,1139,put-onto,1,pan,5,put pans onto cupboard
2027,P01_103,1141,1249,close,4,cupboard,3,close cupboard
2028,P01_103,1252,1331,pick-up,0,board:cutting,18,pick up cutting board
2029,P01_103,1405,1481,open,3,cupboard,3,open cupboard
2030,P01_103,1472,1588,put,1,board:cutting,18,put cutting board into cupboard
2031,P01_103,1698,1760,pick-up,0,cup,13,pick up cup
2032,P01_103,1764,1807,put-down,1,cup,13,put down cup
2033,P01_103,1834,1876,take,0,spatula,20,take spatula
2034,P01_103,1897,1926,take,0,knife,4,take knife
2035,P01_103,454,500,open,3,cupboard,3,open cupboard
2036,P01_103,1931,1975,attach-onto,64,knife,4,attach knife onto magnetic holder
2037,P01_103,1971,2029,pick-up,0,knife,4,pick up knife
