,video_id,start_frame,stop_frame,narration
46664,P23_102,52,86,take glass
46665,P23_102,91,340,take rice
46666,P23_102,4404,4432,open tap
46667,P23_102,27551,27670,put onion
46668,P23_102,27671,27763,clean knife
46669,P23_102,27756,27800,take onion
46670,P23_102,27778,28674,remove peel
46671,P23_102,28679,29100,cut onion
46672,P23_102,29239,29272,take onion
46673,P23_102,29270,29374,put onion
46674,P23_102,29557,29600,take knife
46675,P23_102,29575,29876,cut onion
46676,P23_102,29872,29941,put knife
46677,P23_102,4446,5233,clean rice
46678,P23_102,29894,29950,take onion
46679,P23_102,29948,30061,put onion
46680,P23_102,30280,30340,take knife
46681,P23_102,30291,30322,take onion
46682,P23_102,30345,30745,cut onion
46683,P23_102,30745,31173,remove peel
46684,P23_102,30967,31042,cut onion
46685,P23_102,30756,30782,take vegetable
46686,P23_102,31177,31264,take onion
46687,P23_102,31270,31597,remove peel
46688,P23_102,5232,5263,close tap
46689,P23_102,31555,31625,put onion
46690,P23_102,31621,32004,cut vegetable
46691,P23_102,31998,32017,put knife
46692,P23_102,32019,32088,take onion
46693,P23_102,32129,32158,put onion
46694,P23_102,32223,32269,take lighter
46695,P23_102,32335,32444,switch on gas
46696,P23_102,32551,32564,take bowl
46697,P23_102,32586,32662,put bowl
46698,P23_102,33048,33108,open door
46699,P23_102,5338,5537,throw water
46700,P23_102,33185,33319,open box
46701,P23_102,33316,33351,take bag
46702,P23_102,33351,33399,put bag
46703,P23_102,33404,33447,take bag
46704,P23_102,33513,33553,take bag
46705,P23_102,33576,33605,put bag
46706,P23_102,33622,33686,close box
46707,P23_102,33706,33775,close door
46708,P23_102,33846,33952,put bag
46709,P23_102,33926,33991,open bag
46710,P23_102,7030,7067,put bowl
46711,P23_102,33949,34145,take green chilli
46712,P23_102,34142,34202,put green chilli
46713,P23_102,35278,35407,take green chilli
46714,P23_102,35405,35459,put green chilli
46715,P23_102,36170,36210,open tap
46716,P23_102,36212,36508,wash green chilli
46717,P23_102,36505,36642,close tap
46718,P23_102,36660,36699,take plate
46719,P23_102,36733,36772,pour water
46720,P23_102,37274,37401,take green chilli
46721,P23_102,7073,7100,take glass
46722,P23_102,37454,37491,close tap
46723,P23_102,37540,37643,put plate
46724,P23_102,37633,37706,take knife
46725,P23_102,37851,38244,cut green chilli
46726,P23_102,38249,38307,take green chilli
46727,P23_102,38313,46591,cut green chilli
46728,P23_102,46596,46718,take plate
46729,P23_102,46745,46927,put green chillies
46730,P23_102,46932,47064,mix curry
46731,P23_102,47166,47201,put plate
46732,P23_102,7118,7158,open tap
46733,P23_102,47302,47340,put plate
46734,P23_102,47433,47469,take plate
46735,P23_102,47487,47525,move chair
46736,P23_102,47548,47807,take waste
46737,P23_102,47871,48055,put waste in dustbin
46738,P23_102,48179,48219,open tap
46739,P23_102,48197,48412,clean plate
46740,P23_102,48490,48515,take glass
46741,P23_102,48512,48554,put glass
46742,P23_102,48555,48580,take glass
46743,P23_102,7217,7255,take water
46744,P23_102,48554,48654,put glass
46745,P23_102,48658,48722,take box
46746,P23_102,48770,48857,put box
46747,P23_102,48860,48917,close tap
46748,P23_102,48996,49054,take bag
46749,P23_102,49059,49121,take bag
46750,P23_102,49214,49315,take mangoes
46751,P23_102,49382,49437,put bag in dustbin
46752,P23_102,49484,49558,open tap
46753,P23_102,49563,49937,wash mango
46754,P23_102,7403,7436,pour water
46755,P23_102,49500,49572,open tap
46756,P23_102,49566,49934,wash mango
46757,P23_102,49939,49970,put mango
46758,P23_102,49975,50000,take mango
46759,P23_102,49995,50208,wash mango
46760,P23_102,50201,50242,put mango
46761,P23_102,50247,50284,take mango
46762,P23_102,50265,50429,wash mango
46763,P23_102,50422,50452,close tap
46764,P23_102,50520,50557,take knife
46765,P23_102,7442,7500,take water
46766,P23_102,50539,53834,cut mango
46767,P23_102,53874,53906,put mango
46768,P23_102,53899,56156,cut mango
46769,P23_102,56171,56211,take mango
46770,P23_102,56308,56324,open tap
46771,P23_102,56326,56391,wash knife
46772,P23_102,56480,56504,put knife
46773,P23_102,56547,56580,close tap
46774,P23_102,56616,56654,take mango
46775,P23_102,56665,56691,put mango
46776,P23_102,345,431,pour rice
46777,P23_102,7473,10677,pour water
46778,P23_102,56600,56832,take mango
46779,P23_102,56708,56887,put mango
46780,P23_102,57048,57089,take knife
46781,P23_102,57083,61404,cut mango
46782,P23_102,61396,61493,take plate
46783,P23_102,61514,61639,put mango
46784,P23_102,61654,61694,put plate
46785,P23_102,61702,61742,take mango
46786,P23_102,61819,66361,cut mango
46787,P23_102,66404,66476,take plate
46788,P23_102,10681,10708,put glass
46789,P23_102,66450,66649,put mango
46790,P23_102,66648,66710,put plate
46791,P23_102,66752,66835,take spoon
46792,P23_102,66890,67431,mix curry
46793,P23_102,67444,67510,put spoon
46794,P23_102,67554,67716,take plate
46795,P23_102,67749,67841,put plate
46796,P23_102,67968,68026,take cloth
46797,P23_102,68068,68113,take plate
46798,P23_102,68109,68140,put plate
46799,P23_102,10710,10736,close tap
46800,P23_102,68150,68183,put cloth
46801,P23_102,68226,68290,open tap
46802,P23_102,68257,68300,take glass
46803,P23_102,68303,68377,clean glass
46804,P23_102,68380,68425,take glass
46805,P23_102,68426,68465,wash glass
46806,P23_102,68533,68546,put glass
46807,P23_102,68553,68605,take glass
46808,P23_102,68610,68660,wash glass
46809,P23_102,68665,68687,put glass
46810,P23_102,10740,10823,take bowl
46811,P23_102,68684,68712,take glass
46812,P23_102,68703,68792,clean glass
46813,P23_102,68797,68833,put glass
46814,P23_102,68821,68862,take glass
46815,P23_102,68863,68921,clean glass
46816,P23_102,68985,69050,take cloth
46817,P23_102,69048,69277,wash cloth
46818,P23_102,69282,69467,put cloth
46819,P23_102,69444,69550,take glass
46820,P23_102,69549,69732,clean glass
46821,P23_102,10814,10940,put bowl
46822,P23_102,69758,69790,put glass
46823,P23_102,69831,69855,take cloth
46824,P23_102,69869,69996,wash cloth
46825,P23_102,70103,70149,put cloth
46826,P23_102,70182,70223,take cloth
46827,P23_102,70303,71155,wash cloth
46828,P23_102,71632,71665,put cloth
46829,P23_102,71945,71983,take knife
46830,P23_102,71960,71987,take plate
46831,P23_102,71992,72037,put plate
46832,P23_102,11135,11266,switch on lighter
46833,P23_102,72050,72426,clean counter
46834,P23_102,72417,72517,take plate
46835,P23_102,72524,72602,take plate
46836,P23_102,72607,72896,clean counter
46837,P23_102,72885,72957,put cloth
